Kreis,count,mean_zust,median_zust,mean_age
Landkreis Tirschenreuth,97,2.290721649484536,2.3,33.06185567010309
LANDKREIS EICHSFELD,97,1.9371134020618557,1.9,22.75257731958763
Hochtaunuskreis,96,2.488541666666667,2.5,55.635416666666664
Neckar-Odenwald-Kreis,94,2.067021276595745,2.0,47.202127659574465
Landkreis Sächsische Schweiz-Osterzgebirge,93,2.0623655913978496,2.2,27.010752688172044
Landkreis Haßberge,92,2.1554347826086957,2.2,44.68478260869565
Jerichower Land,92,2.3260869565217392,2.3,32.81521739130435
Mönchengladbach,92,2.264130434782609,2.3,47.869565217391305
Landkreis Dingolfing-Landau,91,2.230769230769231,2.2,37.362637362637365
LANDKREIS SOEMMERDA,91,1.8802197802197802,1.9,26.24175824175824
Anhalt-Bitterfeld,91,2.365934065934066,2.4,34.73626373626374
Kreis Dithmarschen,90,2.353333333333333,2.3,45.111111111111114
Landkreis Prignitz,90,2.1933333333333334,2.3,22.555555555555557
KREIS SAALFELD-RUDOLSTADT,89,2.0157303370786517,2.0,31.426966292134832
Sigmaringen,89,1.9247191011235956,1.9,39.58426966292135
Landeshauptstadt Kiel,86,2.255813953488372,2.3,41.74418604651163
Landkreis Lichtenfels,86,2.3069767441860467,2.3,31.27906976744186
Tübingen,86,2.130232558139535,2.2,38.04651162790697
Hameln-Pyrmont,85,2.1882352941176473,2.3,73.36470588235294
Hansestadt Lübeck,85,2.411764705882353,2.4,35.67058823529412
Heidenheim,84,2.4178571428571427,2.4,40.285714285714285
Landkreis Weißenburg-Gunzenhausen,84,1.9309523809523808,2.0,41.583333333333336
Landkreis Landsberg am Lech,84,2.236904761904762,2.2,31.738095238095237
"Chemnitz, kreisfreie Stadt",83,1.9698795180722892,2.0,24.626506024096386
Freudenstadt,83,2.183132530120482,2.2,45.25301204819277
Landkreis Neunkirchen,83,2.491566265060241,2.5,53.204819277108435
LANDKREIS WEIMARER LAND,83,1.9216867469879517,2.0,27.120481927710845
Landkreis Dachau,83,2.06144578313253,2.0,30.3855421686747
"Leipzig, kreisfreie Stadt",83,2.0518072289156626,2.0,25.759036144578314
COCHEM-ZELL,81,2.2950617283950616,2.3,63.01234567901235
LANDKREIS ALTENBURG,81,1.922222222222222,2.0,31.987654320987655
LANDKREIS HILDBURGHAUSEN,81,2.0407407407407407,2.0,22.28395061728395
Landkreis Starnberg,81,2.0469135802469136,2.0,37.41975308641975
Peine,81,2.2234567901234565,2.3,47.98765432098765
Landkreis Fürstenfeldbruck,80,2.27625,2.3,35.9125
Ammerland,80,2.11375,2.2,46.6125
BIRKENFELD,80,2.105,2.2,51.175
Landkreis Kronach,80,2.06625,2.0,41.325
Holzminden,80,2.125,2.2,41.7125
"ERFURT, STADT",79,2.1202531645569622,2.2,24.27848101265823
Landkreis Havelland,79,2.211392405063291,2.3,30.936708860759495
KFR. STADT LUDWIGSHAFEN,77,2.1285714285714286,2.2,55.0
Wesermarsch,77,1.8324675324675324,1.9,29.51948051948052
Nienburg (Weser),76,2.3368421052631576,2.3,54.35526315789474
KFR. STADT MAINZ,75,2.3586666666666667,2.4,52.44
Landkreis Freyung-Grafenau,73,2.0356164383561643,2.0,37.84931506849315
Verden,73,2.245205479452055,2.2,55.082191780821915
Stadt Erlangen,73,2.473972602739726,2.5,37.21917808219178
KFR. STADT WORMS,71,2.222535211267606,2.3,43.04225352112676
Stade,70,2.082857142857143,2.2,31.4
Friesland,70,2.2357142857142858,2.3,43.857142857142854
Vechta,70,2.0228571428571427,2.2,45.3
Hohenlohekreis,69,2.518840579710145,2.5,51.507246376811594
ALTENKIRCHEN,69,2.1869565217391305,2.2,48.52173913043478
Stadt Passau,69,2.4855072463768115,2.5,47.63768115942029
Landkreis Ebersberg,69,2.0666666666666664,2.2,31.594202898550726
KYFFHAEUSERKREIS,68,1.785294117647059,1.9,21.470588235294116
Kreis Nordfriesland,68,2.138235294117647,2.2,47.544117647058826
Kreis Pinneberg,67,2.316417910447761,2.4,50.73134328358209
Landkreis Miltenberg,66,2.2696969696969695,2.3,42.25757575757576
Stendal,66,2.2712121212121215,2.3,25.439393939393938
Landkreis Ostprignitz-Ruppin,66,1.9681818181818183,2.0,26.954545454545453
Landkreis Regen,66,1.843939393939394,1.9,42.196969696969695
Gifhorn,66,2.15,2.1500000000000004,43.25757575757576
Mülheim an der Ruhr,66,2.103030303030303,2.2,57.60606060606061
Baden-Baden,65,1.9799999999999998,2.0,40.30769230769231
Herne,63,2.4365079365079363,2.4,54.6031746031746
Leverkusen,63,2.4158730158730157,2.5,53.53968253968254
Landkreis Forchheim,62,2.262903225806452,2.3,35.74193548387097
KFR. STADT SPEYER,62,2.2016129032258065,2.2,53.79032258064516
Enzkreis,61,2.045901639344262,2.0,42.08196721311475
Freiburg im Breisgau,60,2.25,2.3,51.56666666666667
Kreisfreie Stadt Darmstadt,59,2.2322033898305085,2.2,45.05084745762712
Aurich,56,1.9946428571428572,2.0,41.910714285714285
KFR. STADT FRANKENTHAL (PFALZ),56,2.1589285714285715,2.2,61.339285714285715
Salzgitter,55,2.381818181818182,2.4,46.21818181818182
Heidelberg,55,2.3854545454545453,2.4,47.78181818181818
